Year,Month,Day,Hour,Wind Speed
2000,1,1,0,1.820232511
2000,1,1,1,1.616232395
2000,1,1,2,1.382257223
2000,1,1,3,1.173256397
2000,1,1,4,0.9988147616
2000,1,1,5,2.971705198
2000,1,1,6,2.779414654
2000,1,1,7,2.547578812
2000,1,1,8,2.482057333
2000,1,1,9,2.90253067
2000,1,1,10,2.86633563
2000,1,1,11,2.829692841
2000,1,1,12,2.829407454
2000,1,1,13,2.896755934
2000,1,1,14,3.016140699
2000,1,1,15,3.172897816
2000,1,1,16,3.167377234
2000,1,1,17,3.159914255
2000,1,1,18,3.230882645
2000,1,1,19,3.21670723
2000,1,1,20,3.138322353
2000,1,1,21,3.053119421
2000,1,1,22,2.96616292
2000,1,1,23,2.884260654
2000,1,2,0,2.821942806
2000,1,2,1,2.719688892
2000,1,2,2,2.763202429
2000,1,2,3,2.634375811
2000,1,2,4,2.501655817
2000,1,2,5,2.378882647
2000,1,2,6,2.335933208
2000,1,2,7,2.57063818
2000,1,2,8,2.843069792
2000,1,2,9,2.822458744
2000,1,2,10,2.829770327
2000,1,2,11,2.789763212
2000,1,2,12,2.732568741
2000,1,2,13,2.670268774
2000,1,2,14,2.762824297
2000,1,2,15,2.888543367
2000,1,2,16,2.886810541
2000,1,2,17,2.941608191
2000,1,2,18,3.120432138
2000,1,2,19,3.182522535
2000,1,2,20,3.112069845
2000,1,2,21,2.949219942
2000,1,2,22,2.731775761
2000,1,2,23,2.525956154
2000,1,3,0,2.385518789
2000,1,3,1,2.338067532
2000,1,3,2,2.411864758
2000,1,3,3,2.510516405
2000,1,3,4,2.489542007
2000,1,3,5,2.294955015
2000,1,3,6,2.183622837
2000,1,3,7,2.05632925
2000,1,3,8,2.319233656
2000,1,3,9,2.549943686
2000,1,3,10,2.505767584
2000,1,3,11,2.484694719
2000,1,3,12,2.474302769
2000,1,3,13,2.461117506
2000,1,3,14,2.432085276
2000,1,3,15,2.415342331
2000,1,3,16,2.389112711
2000,1,3,17,2.440969229
2000,1,3,18,2.530212402
2000,1,3,19,2.605413914
2000,1,3,20,2.705267668
2000,1,3,21,2.781274796
2000,1,3,22,2.777603626
2000,1,3,23,2.789831161
2000,1,4,0,2.876471043
2000,1,4,1,2.90760541
2000,1,4,2,2.794445276
2000,1,4,3,2.487466574
2000,1,4,4,2.055501699
2000,1,4,5,1.779968858
2000,1,4,6,1.581802011
2000,1,4,7,1.476310611
2000,1,4,8,1.649874806
2000,1,4,9,2.25083828
2000,1,4,10,2.374104261
2000,1,4,11,2.420862913
2000,1,4,12,2.435033083
2000,1,4,13,2.440341234
2000,1,4,14,2.33749795
