Year,Month,Day,Hour,Wind Speed
2000,1,1,0,2.733916759
2000,1,1,1,2.660167933
2000,1,1,2,2.655522823
2000,1,1,3,2.693983316
2000,1,1,4,2.719820738
2000,1,1,5,2.056606531
2000,1,1,6,2.073801279
2000,1,1,7,1.903197527
2000,1,1,8,1.404869556
2000,1,1,9,1.177964091
2000,1,1,10,0.5745165944
2000,1,1,11,0.2935645282
2000,1,1,12,0.4579259157
2000,1,1,13,0.6265903711
2000,1,1,14,0.89852494
2000,1,1,15,1.375459909
2000,1,1,16,2.145356655
2000,1,1,17,2.723814249
2000,1,1,18,2.951250315
2000,1,1,19,2.922414541
2000,1,1,20,2.825561047
2000,1,1,21,2.695441246
2000,1,1,22,2.519218683
2000,1,1,23,2.29970336
2000,1,2,0,2.074080467
2000,1,2,1,1.899371862
2000,1,2,2,1.890181899
2000,1,2,3,1.905740857
2000,1,2,4,1.884364843
2000,1,2,5,1.843612909
2000,1,2,6,1.773761749
2000,1,2,7,1.580880761
2000,1,2,8,1.116331339
2000,1,2,9,0.658100605
2000,1,2,10,0.1985646933
2000,1,2,11,0.1347668916
2000,1,2,12,0.2912067175
2000,1,2,13,0.4341013432
2000,1,2,14,0.7139674425
2000,1,2,15,1.296047568
2000,1,2,16,2.222806454
2000,1,2,17,2.914108276
2000,1,2,18,3.190974712
2000,1,2,19,3.18348527
2000,1,2,20,2.894176245
2000,1,2,21,2.500756741
2000,1,2,22,2.084931612
2000,1,2,23,1.658427119
2000,1,3,0,1.369919658
2000,1,3,1,1.286849141
2000,1,3,2,1.277340412
2000,1,3,3,1.223624825
2000,1,3,4,1.113022447
2000,1,3,5,0.9589381814
2000,1,3,6,0.8257536292
2000,1,3,7,0.7369651198
2000,1,3,8,0.5676934719
2000,1,3,9,0.2457275242
2000,1,3,10,0.4045980573
2000,1,3,11,0.6567491293
2000,1,3,12,0.86473912
2000,1,3,13,1.014864922
2000,1,3,14,1.18582201
2000,1,3,15,1.425357103
2000,1,3,16,1.883615971
2000,1,3,17,2.32567811
2000,1,3,18,2.563185692
2000,1,3,19,2.574355125
2000,1,3,20,2.41808033
2000,1,3,21,2.139898539
2000,1,3,22,1.759197354
2000,1,3,23,1.371585011
2000,1,4,0,1.133835793
2000,1,4,1,1.02848196
2000,1,4,2,0.9530846477
2000,1,4,3,0.8690552711
2000,1,4,4,0.8013399243
2000,1,4,5,0.7133820653
2000,1,4,6,0.6074584723
2000,1,4,7,0.4935522676
2000,1,4,8,0.3956616521
2000,1,4,9,0.2703536153
2000,1,4,10,0.8598211408
2000,1,4,11,1.072512984
2000,1,4,12,1.199375391
2000,1,4,13,1.318691134
2000,1,4,14,1.451886773
2000,1,4,15,1.584497809
2000,1,4,16,1.869250655
2000,1,4,17,2.089570284
2000,1,4,18,2.146692276
2000,1,4,19,2.085227489
2000,1,4,20,1.988977075
2000,1,4,21,1.88896215
2000,1,4,22,1.766963124
2000,1,4,23,1.647963762
2000,1,5,0,1.542286515
2000,1,5,1,1.41887629
2000,1,5,2,1.22690928
2000,1,5,3,1.010194182
2000,1,5,4,0.8408141732
2000,1,5,5,0.7937347293
2000,1,5,6,0.8678875566
2000,1,5,7,0.9169995785
2000,1,5,8,0.8600215912
2000,1,5,9,0.883482337
2000,1,5,10,1.10077548
2000,1,5,11,0.9906623363
2000,1,5,12,0.8730981946
2000,1,5,13,0.8302655816
2000,1,5,14,0.8748213649
2000,1,5,15,1.041825652
2000,1,5,16,1.506331086
2000,1,5,17,1.968833327
2000,1,5,18,2.265991211
2000,1,5,19,2.399153709
2000,1,5,20,2.445029736
2000,1,5,21,2.454959154
2000,1,5,22,2.431805134
2000,1,5,23,2.381290436
2000,1,6,0,2.290089846
2000,1,6,1,2.166837931
2000,1,6,2,1.895334005
2000,1,6,3,1.541931629
2000,1,6,4,1.175769448
2000,1,6,5,0.8873359561
2000,1,6,6,0.6364782453
2000,1,6,7,0.4477343559
2000,1,6,8,0.4892043173
2000,1,6,9,0.4298146367
2000,1,6,10,1.073412657
2000,1,6,11,1.254593968
2000,1,6,12,1.302049994
2000,1,6,13,1.40410018
2000,1,6,14,1.468390703
2000,1,6,15,1.425885797
2000,1,6,16,1.470659494
2000,1,6,17,1.653274894
2000,1,6,18,1.775237083
2000,1,6,19,1.721555591
2000,1,6,20,1.573967695
2000,1,6,21,1.368817329
2000,1,6,22,1.191971064
2000,1,6,23,1.039487958
2000,1,7,0,0.9581128955
2000,1,7,1,0.9340646267
2000,1,7,2,1.038888216
2000,1,7,3,1.212155938
2000,1,7,4,1.328275204
2000,1,7,5,1.448279023
2000,1,7,6,1.541884184
2000,1,7,7,1.462289095
2000,1,7,8,1.043197393
2000,1,7,9,0.6000517011
2000,1,7,10,0.7953878641
2000,1,7,11,0.7398687005
2000,1,7,12,0.5650573969
2000,1,7,13,0.5132681727
2000,1,7,14,0.8884111047
2000,1,7,15,1.436766386
2000,1,7,16,1.716754556
2000,1,7,17,1.747889876
2000,1,7,18,1.684587359
2000,1,7,19,1.705057502
2000,1,7,20,1.660210609
2000,1,7,21,1.432774186
2000,1,7,22,1.252292991
2000,1,7,23,1.008381844
2000,1,8,0,0.926520586
2000,1,8,1,1.080342889
2000,1,8,2,1.12545073
2000,1,8,3,1.014722824
2000,1,8,4,0.8598115444
2000,1,8,5,0.7225447297
2000,1,8,6,0.6426255703
2000,1,8,7,0.6031119823
2000,1,8,8,0.6125308275
2000,1,8,9,0.3312263787
2000,1,8,10,0.7147526741
2000,1,8,11,1.09756124
2000,1,8,12,1.2814852
2000,1,8,13,1.446321011
2000,1,8,14,1.462519526
2000,1,8,15,1.352988362
2000,1,8,16,1.447663426
2000,1,8,17,1.683395028
2000,1,8,18,1.772278309
2000,1,8,19,1.633588672
2000,1,8,20,1.399711132
2000,1,8,21,1.439110279
2000,1,8,22,1.73712194
2000,1,8,23,1.950281501
2000,1,9,0,2.057730436
2000,1,9,1,2.131184816
2000,1,9,2,2.14395237
2000,1,9,3,2.138875246
2000,1,9,4,2.118955374
2000,1,9,5,2.036896944
2000,1,9,6,1.942638755
2000,1,9,7,1.85451889
2000,1,9,8,1.517080784
2000,1,9,9,1.189331889
2000,1,9,10,1.337722898
2000,1,9,11,1.542886257
2000,1,9,12,1.700312734
2000,1,9,13,1.786910295
2000,1,9,14,1.60661602
2000,1,9,15,1.155164838
2000,1,9,16,0.4760139585
2000,1,9,17,0.3274205327
2000,1,9,18,0.8335191607
2000,1,9,19,1.157078147
2000,1,9,20,1.312229991
2000,1,9,21,1.462935567
2000,1,9,22,1.662863612
2000,1,9,23,1.816831827
2000,1,10,0,1.948010087
2000,1,10,1,2.059990406
2000,1,10,2,2.125495672
2000,1,10,3,2.144480705
2000,1,10,4,2.143273354
2000,1,10,5,2.097930431
2000,1,10,6,2.007572651
2000,1,10,7,1.826251984
2000,1,10,8,1.502266407
2000,1,10,9,1.343436003
2000,1,10,10,1.57838583
2000,1,10,11,2.05921793
2000,1,10,12,2.526941299
2000,1,10,13,2.885923862
2000,1,10,14,2.888319492
2000,1,10,15,2.415592194
2000,1,10,16,1.867720604
2000,1,10,17,1.455620289
2000,1,10,18,1.242548347
2000,1,10,19,1.346743345
2000,1,10,20,1.567224264
2000,1,10,21,1.667295337
2000,1,10,22,1.733750343
2000,1,10,23,1.766511917
2000,1,11,0,1.71058023
2000,1,11,1,1.606837869
2000,1,11,2,1.497537374
2000,1,11,3,1.43385458
2000,1,11,4,1.383348584
2000,1,11,5,1.298447371
2000,1,11,6,1.123647094
2000,1,11,7,0.8627984524
2000,1,11,8,0.5293241143
2000,1,11,9,0.4675744474
2000,1,11,10,0.6334971189
2000,1,11,11,0.5717073679
2000,1,11,12,0.5733143091
2000,1,11,13,0.6897366643
2000,1,11,14,0.7540864348
2000,1,11,15,0.9909421802
2000,1,11,16,1.657315254
2000,1,11,17,2.294193029
2000,1,11,18,2.708277702
2000,1,11,19,2.898200989
2000,1,11,20,3.059863091
2000,1,11,21,3.134751558
2000,1,11,22,3.111959934
2000,1,11,23,2.981933117
2000,1,12,0,2.864144325
2000,1,12,1,2.810816288
2000,1,12,2,2.796572685
2000,1,12,3,2.818663597
2000,1,12,4,2.894136906
2000,1,12,5,2.96813488
2000,1,12,6,2.991713047
2000,1,12,7,2.733756304
2000,1,12,8,2.324412346
2000,1,12,9,2.629421234
2000,1,12,10,3.012237787
2000,1,12,11,2.94571209
2000,1,12,12,2.874903917
2000,1,12,13,2.82256341
2000,1,12,14,2.664469004
2000,1,12,15,2.327561378
2000,1,12,16,1.851554871
2000,1,12,17,1.723533154
2000,1,12,18,1.889659166
2000,1,12,19,2.275866985
2000,1,12,20,2.800438166
2000,1,12,21,3.307817936
2000,1,12,22,3.697341681
2000,1,12,23,3.940429688
2000,1,13,0,4.050431252
2000,1,13,1,4.026682854
2000,1,13,2,3.757434845
2000,1,13,3,3.480749846
2000,1,13,4,3.235398293
2000,1,13,5,2.970791101
2000,1,13,6,2.787463903
2000,1,13,7,2.518102646
2000,1,13,8,2.442234993
2000,1,13,9,2.700303793
2000,1,13,10,2.929634333
2000,1,13,11,3.040348768
2000,1,13,12,3.114790201
2000,1,13,13,3.199755907
2000,1,13,14,3.086654902
2000,1,13,15,2.845255375
2000,1,13,16,2.366718292
2000,1,13,17,2.256779671
2000,1,13,18,2.228710651
2000,1,13,19,2.145039082
2000,1,13,20,2.155967236
2000,1,13,21,2.261600733
2000,1,13,22,2.34646368
2000,1,13,23,2.365841627
2000,1,14,0,2.295231104
2000,1,14,1,2.170177937
2000,1,14,2,1.844805837
2000,1,14,3,1.466996551
2000,1,14,4,1.09780705
2000,1,14,5,0.7571749687
2000,1,14,6,0.5398315787
2000,1,14,7,0.5516632199
2000,1,14,8,0.4824980497
2000,1,14,9,1.326192737
2000,1,14,10,1.730433583
2000,1,14,11,1.842428923
2000,1,14,12,1.830738783
2000,1,14,13,1.768121362
2000,1,14,14,1.624907732
2000,1,14,15,1.338831425
2000,1,14,16,1.25863421
2000,1,14,17,1.888157487
2000,1,14,18,2.524399519
2000,1,14,19,2.89403224
2000,1,14,20,3.029843569
2000,1,14,21,3.01005578
2000,1,14,22,2.918980837
2000,1,14,23,2.800941944
2000,1,15,0,2.722758055
2000,1,15,1,2.692129612
2000,1,15,2,2.619767666
2000,1,15,3,2.564889908
2000,1,15,4,2.546726227
2000,1,15,5,2.508603811
2000,1,15,6,2.458358526
2000,1,15,7,2.193302155
