Year,Month,Day,Hour,Wind Speed
2000,1,1,0,0.4439172447
2000,1,1,1,0.4371942878
2000,1,1,2,0.4154039919
2000,1,1,3,0.3793691993
2000,1,1,4,0.3401679695
2000,1,1,5,0.6300902367
2000,1,1,6,0.6313668489
2000,1,1,7,0.6347840428
2000,1,1,8,0.7165006995
2000,1,1,9,0.7760212421
2000,1,1,10,0.8198694587
2000,1,1,11,0.8240106106
2000,1,1,12,0.811819911
2000,1,1,13,0.7898450494
2000,1,1,14,0.7928192019
2000,1,1,15,0.7741801143
2000,1,1,16,0.6545032859
2000,1,1,17,0.6407362819
2000,1,1,18,0.6693884134
2000,1,1,19,0.7053956389
2000,1,1,20,0.710534513
2000,1,1,21,0.6930846572
2000,1,1,22,0.6666023731
2000,1,1,23,0.6452151537
2000,1,2,0,0.6286610961
2000,1,2,1,0.621891439
2000,1,2,2,0.6479070783
2000,1,2,3,0.6636252403
2000,1,2,4,0.6744702458
2000,1,2,5,0.6731427908
2000,1,2,6,0.670062542
2000,1,2,7,0.6717627645
2000,1,2,8,0.7548465133
2000,1,2,9,0.7514714599
2000,1,2,10,0.7358411551
2000,1,2,11,0.6984044313
2000,1,2,12,0.6563942432
2000,1,2,13,0.6180949807
2000,1,2,14,0.6073775887
2000,1,2,15,0.6109567881
2000,1,2,16,0.5370309949
2000,1,2,17,0.5264370441
2000,1,2,18,0.5613874197
2000,1,2,19,0.5784795284
2000,1,2,20,0.5682712793
2000,1,2,21,0.5539631844
2000,1,2,22,0.5360504389
2000,1,2,23,0.5151358843
2000,1,3,0,0.4982950389
2000,1,3,1,0.4911132455
2000,1,3,2,0.5092458129
2000,1,3,3,0.527474165
2000,1,3,4,0.5266129971
2000,1,3,5,0.5164571404
2000,1,3,6,0.5228863358
2000,1,3,7,0.5568985939
2000,1,3,8,0.6533737183
2000,1,3,9,0.6645805836
2000,1,3,10,0.6784836054
2000,1,3,11,0.6556333303
2000,1,3,12,0.6179840565
2000,1,3,13,0.5752150416
2000,1,3,14,0.527020514
2000,1,3,15,0.4407573342
2000,1,3,16,0.4122320414
2000,1,3,17,0.4462954104
2000,1,3,18,0.4658740163
2000,1,3,19,0.4764981866
2000,1,3,20,0.4875108898
2000,1,3,21,0.5071344972
2000,1,3,22,0.515344739
2000,1,3,23,0.5178322196
2000,1,4,0,0.5091968775
2000,1,4,1,0.4942349792
2000,1,4,2,0.5065051317
2000,1,4,3,0.5349074006
2000,1,4,4,0.5579198003
2000,1,4,5,0.5848012567
2000,1,4,6,0.6110138297
2000,1,4,7,0.6433337331
2000,1,4,8,0.6980203986
2000,1,4,9,0.7372368574
2000,1,4,10,0.7329192758
2000,1,4,11,0.7031098008
2000,1,4,12,0.6620692611
2000,1,4,13,0.6166492701
2000,1,4,14,0.5796203613
2000,1,4,15,0.5357792974
2000,1,4,16,0.4601894319
2000,1,4,17,0.470854491
2000,1,4,18,0.4913390577
2000,1,4,19,0.509549737
2000,1,4,20,0.5019022822
2000,1,4,21,0.4789596498
2000,1,4,22,0.4708316028
2000,1,4,23,0.4781229496
2000,1,5,0,0.496725142
2000,1,5,1,0.5096737742
2000,1,5,2,0.545260191
2000,1,5,3,0.5789752007
2000,1,5,4,0.6076803803
2000,1,5,5,0.6323718429
2000,1,5,6,0.6487184167
2000,1,5,7,0.6784015894
2000,1,5,8,0.7594234347
2000,1,5,9,0.7782674432
2000,1,5,10,0.7819350362
2000,1,5,11,0.7580494881
2000,1,5,12,0.7186019421
2000,1,5,13,0.6804964542
2000,1,5,14,0.6567854285
2000,1,5,15,0.613465786
2000,1,5,16,0.5668182373
2000,1,5,17,0.5686330795
2000,1,5,18,0.606562674
2000,1,5,19,0.6386397481
2000,1,5,20,0.658182323
2000,1,5,21,0.6568460464
2000,1,5,22,0.6283047795
2000,1,5,23,0.5823867321
2000,1,6,0,0.5252880454
2000,1,6,1,0.4729633331
2000,1,6,2,0.473868072
2000,1,6,3,0.504770875
2000,1,6,4,0.5377293825
2000,1,6,5,0.5701249838
2000,1,6,6,0.6007779241
2000,1,6,7,0.6257925034
2000,1,6,8,0.6498076916
2000,1,6,9,0.6859038472
2000,1,6,10,0.6904774904
2000,1,6,11,0.6615874171
2000,1,6,12,0.6141842008
2000,1,6,13,0.5519410968
2000,1,6,14,0.5541013479
2000,1,6,15,0.5449605584
2000,1,6,16,0.5064437985
2000,1,6,17,0.5168945789
2000,1,6,18,0.5552442074
2000,1,6,19,0.5986393094
2000,1,6,20,0.6257696748
2000,1,6,21,0.6458630562
2000,1,6,22,0.6645517349
2000,1,6,23,0.68116045
2000,1,7,0,0.6810759902
2000,1,7,1,0.679414928
2000,1,7,2,0.6873002648
2000,1,7,3,0.6918615103
2000,1,7,4,0.6992974877
2000,1,7,5,0.7143161893
2000,1,7,6,0.7333539128
2000,1,7,7,0.7508252263
2000,1,7,8,0.770203054
2000,1,7,9,0.8159484267
2000,1,7,10,0.851559639
2000,1,7,11,0.8607085347
2000,1,7,12,0.8432942629
2000,1,7,13,0.8102120757
2000,1,7,14,0.7667014599
2000,1,7,15,0.7083588243
2000,1,7,16,0.6506002545
2000,1,7,17,0.6594736576
2000,1,7,18,0.6646136642
2000,1,7,19,0.6886062622
2000,1,7,20,0.7119221687
2000,1,7,21,0.736281395
2000,1,7,22,0.749632597
2000,1,7,23,0.7375879288
2000,1,8,0,0.7327664495
2000,1,8,1,0.7284910083
2000,1,8,2,0.7436808348
2000,1,8,3,0.7732836604
2000,1,8,4,0.8040786386
2000,1,8,5,0.8327605128
2000,1,8,6,0.8514963388
2000,1,8,7,0.8644937873
2000,1,8,8,0.8611162305
2000,1,8,9,0.9116395116
2000,1,8,10,0.9428673387
2000,1,8,11,0.9487530589
2000,1,8,12,0.9406357408
2000,1,8,13,0.9020473361
2000,1,8,14,0.8695197701
2000,1,8,15,0.7158002853
2000,1,8,16,0.667978704
2000,1,8,17,0.6647486091
2000,1,8,18,0.679900825
2000,1,8,19,0.710634172
2000,1,8,20,0.7505862117
2000,1,8,21,0.7754729986
2000,1,8,22,0.7871358991
2000,1,8,23,0.7825769186
2000,1,9,0,0.7685410976
2000,1,9,1,0.7633615732
2000,1,9,2,0.748996079
2000,1,9,3,0.736132741
2000,1,9,4,0.7319428325
2000,1,9,5,0.7219015956
2000,1,9,6,0.7122539282
2000,1,9,7,0.7069020271
2000,1,9,8,0.7081013322
2000,1,9,9,0.7467513084
2000,1,9,10,0.8004924059
2000,1,9,11,0.8159499168
2000,1,9,12,0.7794199586
2000,1,9,13,0.7269761562
2000,1,9,14,0.6718921065
2000,1,9,15,0.5806213021
2000,1,9,16,0.563372016
2000,1,9,17,0.5809063315
2000,1,9,18,0.6211814284
2000,1,9,19,0.6763504744
2000,1,9,20,0.7038164139
2000,1,9,21,0.7029110193
2000,1,9,22,0.6883330345
2000,1,9,23,0.680747211
2000,1,10,0,0.671236515
2000,1,10,1,0.6583992243
2000,1,10,2,0.6527717113
2000,1,10,3,0.6416143179
2000,1,10,4,0.6357752085
2000,1,10,5,0.6385354996
2000,1,10,6,0.6397554874
2000,1,10,7,0.6390292645
2000,1,10,8,0.6166003942
2000,1,10,9,0.7137753963
2000,1,10,10,0.7065930963
2000,1,10,11,0.641371727
2000,1,10,12,0.6162487268
2000,1,10,13,0.5193077922
2000,1,10,14,0.4544801116
2000,1,10,15,0.4867931604
2000,1,10,16,0.5146577954
2000,1,10,17,0.5520275235
2000,1,10,18,0.5869961977
2000,1,10,19,0.6274784207
2000,1,10,20,0.6360116601
2000,1,10,21,0.6307784915
2000,1,10,22,0.5887362957
2000,1,10,23,0.5356131792
2000,1,11,0,0.4754702449
2000,1,11,1,0.4232181013
2000,1,11,2,0.3887036443
2000,1,11,3,0.3708098829
2000,1,11,4,0.3649231791
2000,1,11,5,0.3756308258
2000,1,11,6,0.4004227817
2000,1,11,7,0.4278084636
2000,1,11,8,0.5345093012
2000,1,11,9,0.6579809785
2000,1,11,10,0.7072008848
2000,1,11,11,0.7357488871
2000,1,11,12,0.6971043348
2000,1,11,13,0.6538409591
2000,1,11,14,0.6329751611
2000,1,11,15,0.63978374
2000,1,11,16,0.6452745199
2000,1,11,17,0.6778779626
2000,1,11,18,0.7158994675
2000,1,11,19,0.7524104714
2000,1,11,20,0.7386904359
2000,1,11,21,0.7052053213
2000,1,11,22,0.6737592816
2000,1,11,23,0.647508204
2000,1,12,0,0.623794198
2000,1,12,1,0.598377049
2000,1,12,2,0.6068879366
2000,1,12,3,0.6397042274
2000,1,12,4,0.6762685776
2000,1,12,5,0.7050132751
2000,1,12,6,0.7299116254
2000,1,12,7,0.7653746009
2000,1,12,8,0.7742109299
2000,1,12,9,0.8088698983
2000,1,12,10,0.8308478594
2000,1,12,11,0.8188048005
2000,1,12,12,0.7617776394
2000,1,12,13,0.6952058077
2000,1,12,14,0.6104130149
2000,1,12,15,0.5021007061
2000,1,12,16,0.3975705206
2000,1,12,17,0.3494214118
2000,1,12,18,0.3454272449
2000,1,12,19,0.3408822715
2000,1,12,20,0.3104340434
2000,1,12,21,0.2957725227
2000,1,12,22,0.3020397425
2000,1,12,23,0.3203266859
2000,1,13,0,0.3203008771
2000,1,13,1,0.2731257677
2000,1,13,2,0.3015822768
2000,1,13,3,0.3372651041
2000,1,13,4,0.375348568
2000,1,13,5,0.4132050276
2000,1,13,6,0.4445151687
2000,1,13,7,0.4704230726
2000,1,13,8,0.5699076653
2000,1,13,9,0.5793415904
2000,1,13,10,0.5568304658
2000,1,13,11,0.5438435078
2000,1,13,12,0.524641633
2000,1,13,13,0.5104453564
2000,1,13,14,0.4783073664
2000,1,13,15,0.4109284282
2000,1,13,16,0.3064589202
2000,1,13,17,0.276235193
2000,1,13,18,0.2965928316
2000,1,13,19,0.3217372894
2000,1,13,20,0.3381781578
2000,1,13,21,0.3710926771
2000,1,13,22,0.4035182893
2000,1,13,23,0.4122548401
2000,1,14,0,0.3976192176
2000,1,14,1,0.3712525964
2000,1,14,2,0.366594702
2000,1,14,3,0.3760001361
2000,1,14,4,0.3764061928
2000,1,14,5,0.36635077
2000,1,14,6,0.3780657053
2000,1,14,7,0.4331763685
2000,1,14,8,0.4948602021
2000,1,14,9,0.503228128
2000,1,14,10,0.5028197169
2000,1,14,11,0.4946213663
2000,1,14,12,0.4868873656
2000,1,14,13,0.4706829488
2000,1,14,14,0.4351631403
2000,1,14,15,0.4004175365
2000,1,14,16,0.3232694864
2000,1,14,17,0.2997637689
2000,1,14,18,0.2604228556
2000,1,14,19,0.2083085328
2000,1,14,20,0.09525173157
2000,1,14,21,0.06747814268
2000,1,14,22,0.1836324334
2000,1,14,23,0.2631545067
2000,1,15,0,0.3075619936
2000,1,15,1,0.3364126682
2000,1,15,2,0.328786552
2000,1,15,3,0.3163303435
2000,1,15,4,0.318441093
2000,1,15,5,0.325766921
2000,1,15,6,0.2737611234
2000,1,15,7,0.260273546
2000,1,15,8,0.2914460599
2000,1,15,9,0.320024699
2000,1,15,10,0.3196096122
2000,1,15,11,0.3161395788
2000,1,15,12,0.3027773798
2000,1,15,13,0.2750267386
2000,1,15,14,0.2380375415
2000,1,15,15,0.1958269477
2000,1,15,16,0.2189128846
2000,1,15,17,0.233753264
2000,1,15,18,0.2541851401
2000,1,15,19,0.2843405008
2000,1,15,20,0.3574020863
2000,1,15,21,0.4227554798
2000,1,15,22,0.4538847208
2000,1,15,23,0.4346195459
2000,1,16,0,0.4318352044
2000,1,16,1,0.4328779876
2000,1,16,2,0.4023362994
2000,1,16,3,0.3813353479
2000,1,16,4,0.3719185889
2000,1,16,5,0.3695267737
2000,1,16,6,0.3909533322
2000,1,16,7,0.4434873164
2000,1,16,8,0.5248288512
2000,1,16,9,0.5663309097
2000,1,16,10,0.5927530527
2000,1,16,11,0.6202638149
2000,1,16,12,0.627838254
2000,1,16,13,0.6279476881
2000,1,16,14,0.6563987136
2000,1,16,15,0.6811878681
2000,1,16,16,0.5790885091
2000,1,16,17,0.5665503144
2000,1,16,18,0.6093315482
2000,1,16,19,0.6408354044
2000,1,16,20,0.6500095725
2000,1,16,21,0.6553400159
2000,1,16,22,0.6646413803
2000,1,16,23,0.6670556068
2000,1,17,0,0.653423965
2000,1,17,1,0.637085855
2000,1,17,2,0.6059557199
2000,1,17,3,0.5836750269
2000,1,17,4,0.5818098783
2000,1,17,5,0.5945254564
2000,1,17,6,0.5598057508
2000,1,17,7,0.58807832
2000,1,17,8,0.6308177114
2000,1,17,9,0.6777783632
2000,1,17,10,0.7381544709
2000,1,17,11,0.7854525447
2000,1,17,12,0.8015037179
2000,1,17,13,0.8208354115
2000,1,17,14,0.8151091933
2000,1,17,15,0.7999151945
2000,1,17,16,0.7176860571
2000,1,17,17,0.6200482249
2000,1,17,18,0.6413369179
2000,1,17,19,0.6570261717
2000,1,17,20,0.6806137562
2000,1,17,21,0.690744102
2000,1,17,22,0.6854225397
2000,1,17,23,0.6856250763
2000,1,18,0,0.690159142
2000,1,18,1,0.699274838
2000,1,18,2,0.7276585102
2000,1,18,3,0.7449569702
2000,1,18,4,0.7453542352
2000,1,18,5,0.7622454762
2000,1,18,6,0.7674716711
2000,1,18,7,0.8100957274
2000,1,18,8,0.8801393509
2000,1,18,9,0.8953028917
2000,1,18,10,0.9088930488
2000,1,18,11,0.8945040703
2000,1,18,12,0.8719500303
2000,1,18,13,0.8662379384
2000,1,18,14,0.85656178
2000,1,18,15,0.854559958
2000,1,18,16,0.7597032785
2000,1,18,17,0.6914668083
2000,1,18,18,0.7317100763
2000,1,18,19,0.7811952233
2000,1,18,20,0.7639505267
2000,1,18,21,0.7179863453
2000,1,18,22,0.6959502101
2000,1,18,23,0.6738755703
2000,1,19,0,0.6524012685
2000,1,19,1,0.637339592
2000,1,19,2,0.6174458861
2000,1,19,3,0.6135174632
2000,1,19,4,0.6218216419
2000,1,19,5,0.6357234716
2000,1,19,6,0.6538460851
2000,1,19,7,0.6475732923
2000,1,19,8,0.713719964
2000,1,19,9,0.7959198356
2000,1,19,10,0.8505387306
2000,1,19,11,0.8607057333
2000,1,19,12,0.8282161355
2000,1,19,13,0.8063266873
2000,1,19,14,0.7581672072
2000,1,19,15,0.6901676655
2000,1,19,16,0.5664719343
2000,1,19,17,0.5174262524
2000,1,19,18,0.5291290283
2000,1,19,19,0.5379025936
2000,1,19,20,0.5145786405
2000,1,19,21,0.4770845771
2000,1,19,22,0.4444051981
2000,1,19,23,0.419944942
2000,1,20,0,0.4028471708
2000,1,20,1,0.3648779392
2000,1,20,2,0.3266530633
2000,1,20,3,0.3371931911
2000,1,20,4,0.3250824213
2000,1,20,5,0.3523210585
2000,1,20,6,0.3902591765
2000,1,20,7,0.3643064201
2000,1,20,8,0.3983591795
2000,1,20,9,0.3984481096
2000,1,20,10,0.3973235786
2000,1,20,11,0.3698432446
2000,1,20,12,0.3212807178
2000,1,20,13,0.2667316496
2000,1,20,14,0.233316347
2000,1,20,15,0.2257822603
2000,1,20,16,0.2404490858
2000,1,20,17,0.2835562527
2000,1,20,18,0.3215007782
2000,1,20,19,0.3346637487
2000,1,20,20,0.3373958468
2000,1,20,21,0.3265820146
2000,1,20,22,0.302149415
2000,1,20,23,0.2747046947
2000,1,21,0,0.2320339382
2000,1,21,1,0.1910827905
2000,1,21,2,0.1143441945
2000,1,21,3,0.06496404111
2000,1,21,4,0.1043232828
2000,1,21,5,0.1330040544
2000,1,21,6,0.1572097838
2000,1,21,7,0.1566542536
2000,1,21,8,0.1549738497
2000,1,21,9,0.207602933
2000,1,21,10,0.2615419328
2000,1,21,11,0.2980556786
2000,1,21,12,0.3233234882
2000,1,21,13,0.3474754989
2000,1,21,14,0.3650338948
2000,1,21,15,0.3513824046
2000,1,21,16,0.347892195
2000,1,21,17,0.3855370283
2000,1,21,18,0.4189453125
